"","Target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"332",13900,"Yes",1286,1005,363,16,37,1363,74,4300,500,900,75,81,14,32,8024,72
"333",12450,"Yes",1756,1500,366,3,21,1524,280,5400,450,870,62,66,12.4,24,8832,70
"334",7320,"No",535,502,223,6,20,959,150,4640,500,600,48,65,12.6,15,7114,51
"335",15909,"Yes",2939,1496,452,56,86,1723,113,4772,500,700,85,91,11.9,37,14213,77
"336",9620,"Yes",740,558,177,12,29,628,63,3750,550,950,49,55,10.8,33,10642,59
"337",9858,"Yes",874,758,428,21,46,1605,246,3700,450,1200,42,45,17.6,16,4796,55
"338",10440,"Yes",1004,802,239,23,63,909,51,3850,525,1450,63,72,11.8,20,7940,64
"339",12370,"Yes",2432,1730,563,20,63,2578,254,6800,500,1800,92,92,13.6,25,10062,79
"340",14700,"Yes",962,750,212,21,54,830,150,6550,450,400,97,97,11.3,24,11291,70
"341",4300,"No",3073,2672,1547,9,29,9649,1792,2643,450,1660,57,68,19,11,5801,68
"342",9400,"Yes",824,670,337,15,41,1160,653,3400,500,1100,37,37,8.4,21,5352,59
"343",13850,"Yes",1611,960,342,27,60,1089,210,3920,470,810,80,97,13.2,30,10223,96
"345",11610,"Yes",5152,4600,1685,36,71,7016,804,4760,600,1950,86,94,13.5,25,9982,77
"346",5094,"Yes",4226,3666,2007,14,60,7703,2339,4010,700,1560,77,86,16.6,10,6203,50
"347",11200,"Yes",499,441,199,26,52,846,377,7400,600,1300,66,79,6.8,50,10819,90
"349",11510,"Yes",478,327,117,9,34,731,370,6450,575,1075,71,93,10.3,30,10502,77
"350",10200,"Yes",695,535,239,21,30,988,785,7000,350,1100,63,76,11.7,20,10622,68
"351",11390,"Yes",941,772,214,10,30,1247,776,5280,500,750,77,82,10.6,17,8575,55
"352",11200,"Yes",1464,888,176,26,52,624,128,4208,500,1642,80,90,11.1,43,8317,51
"353",9250,"Yes",549,397,169,26,51,1343,1751,4550,425,1350,52,58,13.1,13,5925,61
"354",11040,"Yes",1107,859,323,13,51,1452,402,4500,600,700,65,76,11.8,30,9034,66
"356",4486,"No",233,233,153,5,12,658,58,2516,600,1900,68,68,15.7,11,6971,51
"357",7680,"Yes",1002,555,119,16,43,836,684,3740,500,800,70,74,17.7,21,6652,52
"359",7950,"Yes",420,293,93,11,32,336,80,3750,600,2740,54,54,9.8,45,9754,48
"360",11985,"Yes",2286,1668,564,37,70,2943,1260,4081,400,1500,93,95,9.2,15,8995,91
"361",9813,"Yes",1557,1074,397,15,40,1805,433,4050,425,1000,45,63,16.7,29,7307,78
"363",12500,"Yes",1981,1541,514,18,36,1927,1084,6200,375,1000,73,75,16.8,22,8707,80
"364",5016,"No",1584,1456,891,6,18,3471,911,3798,540,2256,48,48,28.8,12,3871,59
"365",10300,"Yes",1742,1382,607,30,64,2258,53,5080,475,1200,68,75,14.1,30,7762,89
"366",8856,"No",9239,7788,3290,35,39,13606,807,3960,500,1382,81,89,17.6,20,7846,85
"368",8127,"No",2618,2288,1032,42,77,5524,414,3978,900,1200,82,82,17,25,7473,65
"369",6840,"Yes",331,331,225,15,36,1100,166,3720,1100,4913,33,33,15.4,20,5524,49
"370",7844,"No",6011,3075,960,22,60,5146,1532,3830,450,1258,72,74,16.8,20,7832,71
"371",8200,"Yes",610,461,189,26,52,685,49,3300,550,1000,63,69,12,16,8128,64
"372",11910,"Yes",1444,1261,456,29,62,1788,95,4378,450,965,60,77,11.4,25,8149,75
"373",11320,"Yes",905,834,319,32,61,1073,179,4402,550,1350,82,89,12.7,38,11218,58
"374",11505,"Yes",1217,1088,496,36,69,1773,884,3255,1000,2075,35,46,16.7,23,7140,67
"376",9866,"No",4255,3277,1609,18,57,10094,1621,3084,480,1479,77,77,15.9,20,6223,53
"377",4386,"No",480,405,380,19,46,1673,1014,2217,600,1500,49,54,15.8,8,5704,63
"378",3840,"No",1576,1326,913,13,50,3689,2200,2852,200,400,52,54,20.3,9,4172,100
"380",13000,"Yes",601,503,204,28,57,671,11,4100,400,460,91,91,11.6,43,11087,56
"381",12480,"Yes",2707,1881,478,14,34,1893,847,5290,530,1740,70,85,14.2,15,9492,54
"382",6073,"No",572,544,320,45,72,1470,416,3400,550,1400,71,71,16.4,31,6112,74
"383",5552,"No",3500,2836,1779,15,42,8730,993,3710,550,2300,75,83,17.6,8,6324,37
"384",3648,"No",5220,2128,865,19,53,6411,3186,4834,700,950,82,87,21.5,9,6717,58
"385",8438,"Yes",263,223,103,10,24,316,20,3372,500,2958,42,50,11.1,4,11989,15
"386",4426,"No",2442,2164,1189,12,37,5983,1075,2664,600,1000,76,81,18.1,19,4795,60
"387",14990,"Yes",1232,955,303,23,58,1241,485,4730,550,1250,86,92,15.2,28,9566,74
"389",10520,"Yes",586,533,239,16,36,950,228,3678,500,1000,48,68,13,32,8111,56
"390",4515,"Yes",882,730,330,2,13,926,12,2550,850,2100,53,60,18.6,34,6990,60
"392",6844,"Yes",279,276,126,17,37,600,435,2980,500,500,45,55,11.7,38,5073,44
"393",8950,"Yes",235,217,121,12,32,931,487,3119,550,1125,51,51,10.7,26,7016,78
"394",10500,"Yes",368,317,159,20,49,806,542,3555,500,2285,44,50,11.3,30,6695,64
"395",9900,"Yes",325,284,95,16,33,364,88,3650,500,1200,32,37,13.6,43,6525,21
"397",7470,"Yes",1170,695,238,14,48,1170,429,4600,250,1400,74,75,15.3,23,6898,88
"398",12474,"Yes",657,537,113,37,90,1039,466,5678,630,1278,53,71,11.9,19,10613,72
"399",12250,"Yes",1310,1086,458,26,61,1365,144,3530,400,1150,85,87,16.7,35,7215,81
"400",7400,"Yes",510,485,334,18,36,1114,94,3346,600,600,57,57,19.8,7,6869,58
"401",16975,"Yes",2519,1836,462,30,61,1656,352,4565,600,850,76,86,12.8,39,10888,83
"402",4738,"No",2225,1910,1190,29,55,5968,955,3110,700,940,72,76,20.2,27,5972,52
"404",9090,"Yes",513,347,279,23,48,2508,505,4500,650,500,62,65,18.3,2,7905,71
"405",10850,"Yes",947,798,266,36,68,1274,471,5150,550,800,77,93,13.6,24,8797,61
"407",5376,"No",787,601,233,40,73,1017,411,3214,600,1100,99,100,13.7,11,9241,34
"408",17748,"Yes",13594,7244,2505,70,86,12408,2814,7262,450,1000,87,98,7.8,16,21227,71
"409",10194,"Yes",872,722,154,14,36,601,36,2600,500,1500,57,63,11.4,32,5788,83
"410",10320,"Yes",2220,1796,467,65,99,1919,334,4762,450,650,68,100,14.2,20,7788,65
"411",5542,"No",1563,1005,240,1,19,1380,136,4330,500,1000,65,71,14.2,17,6562,57
"412",6806,"No",4809,3089,1429,12,33,6162,871,1780,600,1651,72,72,16.7,9,7090,44
"413",8400,"No",10634,7064,3176,39,78,16505,5481,6540,600,1300,92,98,17.5,21,9670,62
"415",11718,"Yes",1127,884,308,30,64,1310,766,7398,450,1800,73,87,16.4,33,8871,76
"416",5834,"No",2968,2297,1610,13,47,7368,1128,2744,600,2000,79,83,17,24,6310,42
"417",12580,"Yes",465,361,176,19,39,879,156,4345,400,970,76,79,13.1,24,10889,74
"418",4856,"No",6040,4577,1620,36,72,5640,266,3416,400,1100,69,72,15.7,13,6601,76
"419",13380,"Yes",11901,8492,2517,16,42,11160,10221,7425,600,1750,73,82,12.9,17,9563,46
"421",7799,"No",10706,7219,2397,12,37,14826,1979,3296,470,1750,73,78,17.3,11,6086,56
"422",3735,"No",2729,2535,1257,8,29,4787,472,3136,250,1630,62,65,21.7,23,5284,54
"423",9840,"Yes",616,514,385,29,52,1115,60,2820,450,822,59,59,14.8,20,6261,58
"424",9900,"Yes",860,811,366,22,56,1040,52,3075,300,1800,68,68,14.9,34,6357,68
"426",14134,"Yes",1743,1625,626,8,29,1862,382,5270,500,800,71,74,13.1,22,9209,63
"427",9990,"Yes",379,324,107,15,37,500,311,4900,400,600,44,47,12.1,26,4948,33
"428",9114,"No",3041,2581,1173,16,56,6441,3982,4030,400,650,88,90,19.7,13,6637,53
"429",19670,"Yes",4778,2767,678,50,89,2587,120,5820,575,1119,77,96,10.1,47,16593,83
"430",16560,"Yes",2324,1319,370,52,81,1686,35,5140,558,1152,91,93,10.5,30,16196,79
"432",15990,"Yes",2936,2342,669,35,62,2502,66,4080,600,825,73,78,14.5,31,9979,83
"433",7629,"No",11023,8298,3183,21,54,14861,1310,4095,550,2300,79,87,20.4,13,8811,64
"434",16732,"Yes",2190,1700,458,36,65,1780,48,5650,550,550,93,93,12.1,32,12011,75
"435",5390,"Yes",758,681,484,35,59,1707,705,3140,515,1290,63,71,15.1,18,5511,50
"437",5336,"No",4522,3913,2181,29,57,12830,1658,3344,800,3100,84,92,15.3,14,6433,48
"438",12888,"Yes",1496,1205,428,26,57,1648,936,4440,420,840,62,68,13.9,30,8802,87
"439",6530,"Yes",910,773,450,31,73,1310,61,2800,500,1500,63,67,13.3,10,6413,65
"440",8530,"Yes",2308,1336,295,22,46,1202,942,3644,616,1576,56,64,14.9,25,7114,37
"441",11000,"Yes",8256,3750,1522,37,70,5809,4379,5160,660,1115,90,95,13.8,10,10059,62
"442",13312,"Yes",1603,1392,504,31,68,2580,302,4488,600,1516,78,78,11,23,9431,83
"443",11925,"Yes",940,668,385,20,48,1316,139,3825,630,1926,48,87,12.3,12,9157,69
"444",14210,"Yes",943,849,288,41,71,1041,35,3994,450,1100,76,76,10.9,22,11216,42
"445",6360,"No",944,774,440,14,34,2174,529,2760,550,1498,77,77,15,5,6443,48
"446",10645,"No",19315,10344,3450,48,93,28938,2025,4060,512,2394,77,96,18.1,19,8992,63
"447",18200,"Yes",3821,2037,680,86,96,2488,625,6770,500,700,95,98,11.6,13,16185,66
"449",8640,"Yes",838,651,159,11,25,654,162,3700,400,1915,62,62,12.2,13,7634,48
"450",11690,"Yes",1538,1259,468,19,42,1664,1042,5062,600,1664,48,80,12.9,15,8028,68
"451",10500,"Yes",692,576,174,19,50,597,83,3860,600,940,58,64,11.6,19,8990,39
"452",5640,"Yes",663,562,127,20,40,641,63,3620,600,750,89,89,13.2,17,7309,31
"453",6000,"Yes",404,400,169,28,48,797,100,3000,500,500,48,57,13.4,14,5557,61
"455",10178,"Yes",809,687,428,20,43,1889,217,4190,800,750,71,71,16.1,19,7895,54
"456",9700,"Yes",875,744,207,7,38,1173,1402,4830,400,1200,45,90,14.5,10,7652,66
"457",16200,"Yes",1132,847,302,58,89,1379,214,4200,436,2486,90,90,10.4,14,14329,62
"458",4290,"No",2405,2234,1061,10,22,4564,448,3500,598,1582,55,93,19.4,1,5967,35
"459",11859,"Yes",1082,832,302,34,63,1133,30,3635,554,1429,80,85,13.4,42,8354,85
"460",19900,"Yes",13218,2042,1153,90,98,4540,146,5910,675,1575,91,96,8.4,54,28320,99
"461",14400,"Yes",5139,3346,973,20,55,3717,1358,6200,450,1100,66,74,18.4,35,8135,96
"462",9556,"No",21804,18744,5874,29,60,26213,4065,3990,570,1060,86,86,18.2,15,8604,67
"463",11020,"Yes",516,392,154,32,62,630,549,4970,610,1900,73,75,14,36,9315,58
"464",10100,"Yes",1025,707,297,22,66,1070,72,4140,450,1080,69,71,16.3,32,6880,80
"465",12030,"Yes",3712,2153,806,17,45,2677,714,6140,1000,500,63,73,12,33,8847,86
"466",6684,"No",5702,4894,1742,15,37,8077,472,4110,500,900,73,83,19.6,9,4519,62
"467",4449,"No",2088,957,362,6,29,2745,1938,4860,600,1655,74,95,17.8,8,7333,47
"469",13970,"Yes",696,616,169,35,66,653,56,6110,370,920,88,97,9.2,24,16358,68
"470",19960,"Yes",1966,1436,327,47,80,1199,61,5490,500,450,90,90,11.8,37,15886,68
"471",12700,"Yes",427,385,143,18,38,581,533,5800,450,700,81,85,10.3,37,11758,84
"472",17475,"Yes",4996,4165,936,53,82,4291,16,5976,1230,1100,94,98,15.4,21,15605,70
"473",15200,"Yes",2302,1831,391,58,82,1345,59,4768,550,1500,90,96,10.8,47,13388,77
"474",13250,"Yes",3586,2424,730,16,31,2748,1309,5420,700,3100,84,92,12.3,23,11299,70
"475",15200,"Yes",587,501,211,28,52,735,28,4100,350,650,87,90,9.4,49,12472,64
"476",9870,"Yes",484,386,141,6,28,590,1196,4860,600,1100,59,59,12.2,19,6744,81
"477",13425,"Yes",2227,1790,437,27,54,1460,239,4425,450,1200,85,89,13,26,9405,72
"478",9490,"Yes",935,858,345,22,50,1127,754,4100,500,1500,60,79,10.7,21,7519,79
"479",8734,"Yes",560,392,270,11,31,743,118,3362,600,625,56,78,11.3,27,6422,68
"480",12520,"Yes",3304,2804,679,10,20,2111,1489,6050,500,730,44,54,16.4,8,7957,61
"481",16425,"Yes",1777,1151,382,31,55,1668,1052,5220,955,750,81,85,13.3,23,11561,90
"483",4356,"No",3820,1431,695,21,70,5303,3942,4830,800,800,76,81,22.1,6,7252,51
"484",7410,"No",48094,26330,4520,36,79,21401,3712,4748,690,2009,90,95,19.5,19,10474,77
"487",11070,"Yes",2307,1896,509,19,51,1707,1889,5780,400,600,71,73,14.8,16,7120,82
"488",10450,"Yes",897,718,276,12,48,1345,390,4020,500,1500,56,56,14.1,16,7444,70
"489",12950,"Yes",2095,1553,514,15,40,1873,94,5400,450,1120,70,82,14.5,29,6719,97
"490",4259,"No",3971,3306,1921,10,34,11493,2206,2625,350,1884,70,75,18.9,10,4629,58
"491",8670,"Yes",213,166,85,13,36,513,247,3820,450,1000,43,78,12.5,4,7440,48
"492",10880,"Yes",1046,824,284,21,45,1223,451,5050,400,1235,64,64,19.3,24,7344,69
"493",12247,"Yes",933,800,444,18,45,1691,72,4081,500,600,76,85,12,38,9853,70
"495",9985,"Yes",833,682,217,12,33,716,2196,5180,500,800,53,89,27.2,8,4322,85
"496",12750,"Yes",2519,2003,776,39,71,2473,1314,6350,350,1690,84,90,17.4,13,8243,83
"497",12200,"Yes",292,241,96,20,52,543,712,4600,650,950,87,90,11.2,32,8680,76
"498",11690,"Yes",3294,2855,956,44,67,4576,1140,4730,800,6800,84,94,4.6,19,18367,67
"499",12730,"Yes",888,734,393,26,60,1433,27,4514,500,1525,74,95,9.9,31,11165,98
"501",10300,"Yes",150,130,88,23,50,341,768,4130,500,1700,44,58,10.2,37,9678,75
"502",13030,"Yes",1910,1380,463,16,64,1715,106,5860,500,750,79,88,14.5,34,10190,84
"503",14350,"Yes",2248,1673,745,38,73,2888,105,3750,550,550,82,88,10,31,12502,83
"504",9408,"Yes",1606,1413,530,23,38,1921,1154,5520,500,450,78,78,12.1,22,7669,53
"505",10850,"Yes",700,595,278,19,35,1035,182,3936,500,900,62,64,12.3,31,8534,88
"506",10860,"Yes",785,647,295,15,65,1670,726,4624,600,794,87,100,13.7,15,8953,55
"507",10575,"Yes",489,384,120,23,52,700,45,3952,400,620,46,24,13,9,8946,98
"508",10475,"Yes",335,284,132,28,69,534,216,6300,500,2000,68,68,11.2,46,9599,60
"509",5130,"No",4216,2290,736,20,52,4296,1027,4690,600,1450,73,75,17.9,18,5125,56
"510",8236,"Yes",1680,1395,691,34,76,2959,402,3700,569,1650,74,75,14.7,17,9533,61
"511",8384,"No",9402,7020,2151,20,70,16407,5550,5110,612,2400,87,93,19.5,7,7930,41
"512",13584,"Yes",4019,2779,888,40,73,3891,128,5928,630,1278,88,92,13.9,19,10872,100
"513",19300,"Yes",1380,768,263,57,82,1000,105,6694,600,700,89,93,6.1,18,14779,83
"514",8325,"Yes",1109,688,386,20,65,1897,208,5000,1200,1600,14,98,16.1,26,6874,55
"515",8955,"Yes",584,413,131,19,51,521,99,5900,500,1488,51,56,11.8,23,8545,52
"516",17238,"Yes",855,632,139,60,83,569,7,7350,600,800,95,100,8.2,41,18372,73
"517",12669,"Yes",1183,1016,411,42,82,1922,704,4875,600,1250,83,85,16.8,20,10368,66
"519",12000,"Yes",4576,3565,1000,16,36,4384,1530,6484,650,1000,81,84,14.4,15,10080,64
"520",11240,"Yes",936,794,197,24,56,752,210,4180,350,2000,71,71,11.2,37,10065,71
"522",7210,"Yes",540,445,165,23,70,1115,111,3600,500,2000,62,65,13.2,18,7356,58
"525",16160,"Yes",1003,782,295,23,53,1144,160,6950,500,1200,74,81,8.9,33,14086,79
"526",11250,"Yes",1016,872,300,27,57,1116,602,4980,550,1400,66,73,15.8,36,7411,70
"528",18710,"Yes",4293,2728,591,25,62,2322,263,5970,500,700,87,92,12.7,29,14837,81
"529",18820,"Yes",2925,1598,632,51,88,2479,95,6390,500,1050,85,97,10.3,44,21199,90
"530",3811,"No",2807,2589,1701,13,37,7000,1103,2190,500,1970,62,65,15,29,5084,67
"531",4680,"No",2281,1870,1408,18,43,6553,1246,3540,200,2150,75,76,17.1,8,5916,45
"532",3738,"No",818,700,447,20,50,2962,651,2619,450,1022,55,59,19.6,9,4444,53
"533",9520,"Yes",385,340,193,18,38,784,127,4124,630,1818,63,65,18.6,11,8219,43
"534",5472,"No",2540,2195,994,13,40,6063,2550,3598,221,2216,76,81,16.5,8,7498,43
"536",7070,"Yes",1093,1093,642,12,32,1770,967,2500,400,1000,52,54,15.9,13,4718,71
"537",4740,"No",6118,5254,3204,15,37,13131,3374,2590,500,1360,70,75,19.9,11,4632,56
"538",4285,"No",1047,938,511,13,33,2091,546,2750,600,1800,58,75,16.5,31,6591,51
"539",7536,"Yes",321,318,172,11,27,620,280,3736,430,1651,44,77,13,12,5309,36
"540",7200,"Yes",213,155,75,28,66,504,147,3532,550,1500,56,56,11.8,12,7818,52
"541",11850,"Yes",1244,912,352,44,77,1177,43,4675,600,1050,83,89,11.3,35,12995,67
"542",8400,"Yes",283,201,97,10,45,589,263,2800,600,900,50,56,10.6,40,6860,89
"543",7000,"Yes",3713,1237,443,47,83,1971,107,5565,660,2400,73,80,12.5,18,9988,65
"544",8600,"Yes",372,362,181,15,32,1501,353,3550,385,665,48,48,15.4,9,10938,49
"546",16150,"Yes",323,278,122,31,51,393,4,5450,275,800,63,72,7.2,26,15622,64
"547",10570,"Yes",1368,1064,354,19,51,1687,677,5600,400,800,86,81,14.5,29,7908,66
"548",18720,"Yes",2753,1820,505,31,56,1801,45,5730,650,825,90,94,11.5,38,14980,85
"549",11550,"Yes",191,165,63,5,25,494,574,4270,300,500,43,77,14.5,8,9209,40
"550",13332,"Yes",2643,1611,465,36,80,2615,248,6354,630,1584,88,89,16.1,17,9619,78
"552",8678,"Yes",1243,1020,414,33,60,2149,418,3858,700,1736,82,83,16.2,7,7651,72
"553",12140,"Yes",1334,1243,568,30,56,1946,95,4450,425,1100,74,78,15.1,36,8595,88
"554",5000,"Yes",651,581,243,8,17,617,34,3650,600,600,45,45,14,8,8426,45
"555",8650,"Yes",861,609,215,10,27,1117,815,5700,500,1750,69,73,16.1,13,6534,67
"556",13900,"Yes",450,405,194,17,34,614,388,5200,450,2150,46,63,10.9,17,9995,59
"557",12315,"Yes",1557,1227,489,37,69,1964,81,4565,600,1365,85,90,12.5,24,10307,73
"558",16900,"Yes",1768,1249,380,51,93,1263,11,5680,450,750,89,89,19,33,12837,79
"559",3040,"No",4019,1579,710,23,65,4365,765,4351,711,1125,78,92,19.5,7,5599,64
"560",12170,"Yes",3646,2300,585,25,69,2022,926,6172,480,800,79,79,13,30,7495,97
"561",6550,"No",13528,9198,1843,16,61,10168,1231,4355,700,1560,93,96,17.4,16,9075,74
"562",6550,"No",14463,6166,1757,60,94,8544,671,4598,700,1000,83,100,18,15,8055,80
"563",6550,"No",15039,9649,3087,36,100,13963,3124,4731,708,957,90,97,13.6,15,11177,56
"564",6550,"No",12512,6969,1724,27,66,9744,1351,4712,600,1200,91,96,10.5,7,13705,57
"565",6550,"No",7294,3564,904,7,34,5758,1363,4460,500,705,79,83,19,14,6632,49
"566",6550,"No",8000,4556,1464,17,70,6943,869,4810,500,1500,69,85,22,21,5280,63
"567",6550,"No",5318,3515,1025,8,29,7626,2091,4040,550,1230,71,78,18.7,12,7511,42
"568",6550,"No",7888,3519,1036,6,40,5011,346,4680,630,1274,82,85,17.8,17,5563,53
"569",6550,"No",4877,2798,814,13,48,4123,298,4420,620,1481,82,90,16.3,10,6442,66
"570",6550,"No",8598,4562,1143,56,93,5060,146,4170,600,650,79,84,19.1,25,5716,76
"571",6550,"No",8399,3609,656,19,53,4658,1478,4240,550,1500,85,93,15.3,8,6608,53
"572",6550,"No",5549,3583,853,9,40,5004,475,4176,600,1380,80,90,17.9,16,6174,65
"574",6550,"No",2119,1264,390,5,33,2478,1441,4760,1125,1362,80,100,14.9,8,8170,46
"575",16130,"Yes",2096,1512,465,27,59,1442,166,4710,400,800,83,86,13.9,37,10554,90
"576",14500,"Yes",462,402,146,36,68,527,41,6000,500,600,91,99,6.5,48,18953,61
"577",15150,"Yes",10477,7260,2442,28,67,10142,117,6870,635,960,73,84,11.3,13,14231,67
"578",7850,"Yes",257,183,109,19,41,396,38,3410,400,1500,55,70,10,15,7233,53
"579",5666,"Yes",4414,1500,335,30,60,908,119,2964,1000,1400,56,58,15.5,7,5970,46
"580",10965,"Yes",1769,1092,437,41,80,1757,81,4000,450,1250,60,61,14.2,32,8294,98
"581",7070,"Yes",232,182,99,7,29,402,237,3640,400,3158,59,65,8.9,16,6286,36
"582",5130,"No",14474,10519,6392,49,85,31643,2798,3412,600,2144,89,91,23.1,29,8471,69
"583",4860,"No",529,481,243,22,47,1206,134,3122,600,650,103,88,17.4,16,6415,43
"584",8490,"Yes",4095,3079,1195,33,64,5064,660,3320,650,2400,81,93,14.8,23,9158,64
"585",7850,"Yes",497,423,215,27,57,895,429,3410,490,1700,54,58,13.8,24,7002,50
"587",6400,"Yes",592,501,279,19,44,1204,392,3484,600,1800,80,83,14.5,10,7936,43
"588",7070,"No",1500,1242,611,12,36,2024,292,2439,400,779,95,94,17.1,17,7744,84
"590",7600,"Yes",845,734,254,5,21,662,351,3800,600,1200,59,74,19,40,5096,39
"591",10900,"Yes",759,729,244,57,81,867,51,4450,500,1000,81,91,12.1,41,10219,70
"592",5391,"No",5042,2312,944,55,94,5167,902,5411,700,1000,81,87,14.4,6,8504,81
"593",9456,"Yes",1262,1102,276,14,40,978,98,4350,468,1323,53,53,12.8,24,7603,65
"594",18810,"Yes",3058,1798,478,46,84,1737,244,5690,500,680,91,96,10.4,48,18034,91
"595",11412,"Yes",247,189,100,19,49,309,639,6430,500,900,89,93,8.3,37,11806,96
"597",12240,"Yes",2425,1818,601,62,93,2110,95,5150,500,490,94,96,9.6,20,14703,93
"599",7700,"Yes",626,372,145,12,34,983,40,3400,450,800,70,70,21.9,28,4933,52
"600",6735,"Yes",2267,1827,611,20,59,2825,144,3395,600,1425,70,74,12.2,7,10872,65
"601",7800,"Yes",484,384,177,9,45,634,78,2950,500,600,60,88,14.1,9,6864,64
"602",18732,"Yes",3495,1712,528,49,84,1915,123,6204,450,1024,94,96,11.5,49,15411,88
"603",6874,"No",4800,2900,1515,14,48,7764,1472,2394,518,1890,73,78,19.2,14,5901,56
"604",4440,"No",1797,1260,938,24,35,6960,4698,5175,750,2200,96,96,6.7,16,16352,33
"605",5028,"No",3235,3108,2133,25,65,9978,1530,3300,500,2000,73,89,14.8,10,6820,39
"606",11648,"No",19873,8252,3215,95,100,19532,2061,6246,636,1933,93,97,15.8,10,13919,78
"607",12024,"No",15698,10775,2478,85,100,12677,864,5302,790,1818,96,96,16.1,11,15934,66
"608",6618,"No",6986,2959,1918,25,60,12330,7152,4234,700,1600,80,98,22.2,9,6742,46
"609",9500,"Yes",682,535,204,22,43,771,611,3540,400,750,26,58,2.5,10,7683,57
"610",18930,"Yes",6348,2999,922,68,94,3340,39,6380,500,1254,99,99,5.3,36,36854,90
"611",8907,"No",6855,5553,2408,26,57,11036,2011,4697,556,1851,89,95,10.8,6,13889,54
"612",11656,"No",9735,7187,2064,23,63,12478,1660,5072,700,2300,89,95,16,16,10178,71
"613",10760,"Yes",681,588,246,44,74,1058,73,6230,500,1200,85,93,13.4,26,8731,63
"615",10220,"Yes",14446,10516,3252,22,57,14130,4522,4230,530,1300,82,87,18.3,15,10650,75
"616",15192,"Yes",2974,2001,580,29,60,2666,554,4695,400,1350,84,91,15.9,21,11762,67
"618",10430,"Yes",576,558,137,11,39,662,131,3620,400,1500,85,98,16.5,18,8767,45
"619",11800,"Yes",2096,1626,694,35,67,2551,407,4340,700,960,60,81,15.8,26,7780,77
"620",7090,"No",12445,8836,3623,54,85,24470,3286,4180,630,1530,88,97,13.4,20,14737,66
"621",5697,"No",11220,7871,3320,43,79,19553,2748,3600,525,1755,88,95,14.7,22,7881,63
"622",14220,"Yes",5081,4040,1194,11,26,3768,1415,6000,500,1440,61,76,10.7,9,10625,66
"623",4460,"No",3580,2603,1627,36,69,11028,2411,3038,687,1281,85,87,11.8,6,12833,54
"624",7560,"No",14939,11652,5705,52,88,25422,911,4574,500,1982,87,90,17.4,13,8559,81
"625",7230,"No",8384,5727,2710,22,50,13518,2916,5088,630,3228,82,84,10,6,13883,34
"626",11120,"Yes",1487,1276,388,26,51,1417,1646,4080,525,1405,55,56,11.1,23,6735,69
"628",13540,"Yes",1597,969,226,16,38,1431,1522,5050,630,2298,66,68,14.1,23,10139,47
"629",6540,"No",4777,3057,1823,16,33,9844,6198,3600,530,2440,84,92,11.1,24,10207,31
"630",6810,"No",1208,803,438,20,48,1906,344,3970,450,1647,67,75,15.9,26,5712,59
"631",6600,"No",441,369,172,17,45,633,317,3680,600,400,46,46,15.1,4,5935,64
"632",6600,"No",461,381,235,10,40,974,503,3630,400,1675,67,67,15.2,11,6408,35
"634",8723,"No",14292,10315,3409,22,53,19340,3991,5146,550,1550,89,92,18.1,12,9021,63
"635",8566,"No",14438,12414,3816,12,39,16282,1940,3897,500,1400,88,92,16.7,15,10276,68
"636",6919,"No",3347,2597,1006,10,37,4664,1630,4500,500,1250,74,90,15,20,7462,56
"637",16500,"Yes",7122,5386,1643,42,69,7760,876,6526,630,1985,82,94,5.9,17,17500,59
"640",9843,"No",1458,874,588,56,86,1846,154,3180,600,1500,74,78,14.6,16,6716,51
"641",8949,"No",11054,6397,3524,26,55,16502,21836,3744,714,2910,88,90,12.2,37,16122,45
"643",9057,"No",6574,4637,2940,32,62,14782,1583,3485,600,1983,87,87,12.7,15,10145,58
"644",9057,"No",1877,1826,823,49,77,3926,561,3600,700,1435,88,88,14.4,23,9699,49
"645",7246,"No",1618,1141,479,18,54,4793,4552,3964,500,4288,71,73,13.4,15,6433,48
"646",6150,"Yes",452,331,269,17,54,1417,301,3680,550,1200,59,63,16.6,4,5412,52
"647",4440,"No",1351,892,570,18,78,2385,331,3030,300,600,72,72,18.9,8,5883,51
"648",5595,"No",6277,6003,3526,33,63,16454,3171,3145,500,2070,86,92,15.1,48,6813,53
"649",11450,"Yes",1209,750,265,19,54,820,159,5045,900,2500,72,75,11.4,13,9718,64
"650",11180,"No",9750,7640,2529,24,62,10358,1338,3862,650,2450,89,87,17.5,16,7855,75
"651",5972,"No",1757,979,394,32,74,2033,1078,3420,600,750,77,83,13,11,7011,37
"652",8400,"No",14596,5985,3331,75,92,14609,1100,4200,550,1200,88,93,8.9,23,15893,83
"653",7248,"No",5803,4441,1730,19,62,10099,3255,3109,600,1900,79,91,16.8,7,6227,62
"654",8677,"No",5191,4134,1500,15,44,7532,1847,3505,600,1300,75,94,15.5,17,7392,53
"655",7558,"No",6071,3856,1449,15,67,6635,1145,3680,500,1500,82,85,19.1,15,6005,55
"657",6634,"No",1800,1253,560,44,85,3876,3588,4360,600,2604,82,85,17.8,14,6104,47
"658",4104,"No",4418,2737,2049,23,51,14047,5134,3579,450,1700,86,94,22.6,6,5657,35
"659",7731,"No",5530,4007,1697,12,37,8463,1498,4128,540,2286,75,75,21.5,8,6309,40
"660",6197,"No",4144,3379,1853,18,52,10135,1448,2930,595,2380,78,82,16.3,26,6333,77
